AverageReturn,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2349.6544117500002,1000.0,2349.6544117500002,1736,0.13194905,0.5807129,-3.5831344,-0.030587565,314.22394,0.9519029408693314,4505,9226240,5245.280634319992,9226240
2333.9562513,1000.0,2333.9562513,1765,0.16637467,0.5913086,-3.58413,-0.024738498,425.5399,0.9413549788296223,4506,9228288,5246.44172188791,9228288
2321.482247725,1000.0,2321.482247725,1744,0.12090167,0.5663086,-3.57732,-0.016705934,171.00833,0.9806766603142023,4507,9230336,5247.6164039019495,9230336
2344.0940048,1000.0,2344.0940048,1741,0.32064924,0.68222654,-3.5805726,-0.016333397,387.13525,0.9399397075176239,4508,9232384,5248.793438608991,9232384
2338.577065975,1000.0,2338.577065975,1734,0.21101455,0.6334473,-3.600657,-0.007203389,243.41109,0.9610956348478794,4509,9234432,5249.974668993964,9234432
2333.445404475,1000.0,2333.445404475,1749,0.38151467,0.68588865,-3.6000576,-0.0096805,493.8382,0.9447646886110306,4510,9236480,5251.145872000954,9236480
2392.48710185,1000.0,2392.48710185,1782,0.13900638,0.5831543,-3.602663,-0.032707267,440.7503,0.9536271691322327,4511,9238528,5252.295357762021,9238528
2429.520879625,1000.0,2429.520879625,1734,0.17447156,0.6212891,-3.6044612,-0.00083877693,154.89664,0.984541542828083,4512,9240576,5253.476731618983,9240576
2419.600326025,1000.0,2419.600326025,1750,0.08328733,0.4727539,-3.5955842,-0.03416767,480.75586,0.9170811250805855,4513,9242624,5254.647375743021,9242624
2422.412816775,1000.0,2422.412816775,1759,0.1334046,0.5965332,-3.6319027,-0.029047092,377.72324,0.9600745923817158,4514,9244672,5255.812028797925,9244672
2420.6380502,1000.0,2420.6380502,1783,0.14453219,0.58325195,-3.680453,-0.021081405,396.23138,0.9429098442196846,4515,9246720,5256.960972460918,9246720
2387.6066482250003,1000.0,2387.6066482250003,1730,0.20863864,0.6148437,-3.7083716,-0.011323928,280.1094,0.9589394330978394,4516,9248768,5258.145564491977,9248768
2402.706115475,1000.0,2402.706115475,1726,0.31073323,0.63798827,-3.7283244,-0.008675997,295.8079,0.9194753840565681,4517,9250816,5259.332696927944,9250816
2409.7612359,1000.0,2409.7612359,1731,0.23938951,0.60805666,-3.7364242,-0.016903928,444.1039,0.9157957881689072,4518,9252864,5260.516493150964,9252864
2423.3032425750002,1000.0,2423.3032425750002,1750,0.11978618,0.55141604,-3.7354121,-0.025553633,192.27731,0.980554360896349,4519,9254912,5261.687091947999,9254912
2416.91094995,1000.0,2416.91094995,1748,0.4897241,0.63916016,-3.7425964,-0.014299283,449.31665,0.9226753488183022,4520,9256960,5262.859360459959,9256960
2364.960008225,1000.0,2364.960008225,1781,0.29079324,0.67875975,-3.7776463,0.0010981443,278.28976,0.7466664016246796,4521,9259008,5264.009572449955,9259008
2367.244939825,1000.0,2367.244939825,1800,0.37919047,0.6406738,-3.795829,-0.0038984078,379.18073,0.9601903185248375,4522,9261056,5265.1480084869545,9261056
2387.3595604249995,1000.0,2387.3595604249995,1747,0.23976108,0.632666,-3.7547593,-0.010120234,411.41364,0.9062564894556999,4523,9263104,5266.320421091979,9263104
2371.0565768250003,1000.0,2371.0565768250003,1746,0.18816876,0.6074707,-3.733954,-0.014457966,240.73154,0.9488355293869972,4524,9265152,5267.493559711962,9265152
2401.741263425,1000.0,2401.741263425,1750,0.093363896,0.50375974,-3.7292397,-0.034567483,281.53802,0.9715953376144171,4525,9267200,5268.66438459896,9267200
2421.7574118999996,1000.0,2421.7574118999996,1756,1.0239706,0.69746095,-3.7305017,-0.021650285,111.6735,0.9908460872247815,4526,9269248,5269.831188628916,9269248
2386.81277065,1000.0,2386.81277065,1822,0.2102892,0.6242676,-3.7292647,-0.022221278,264.26505,0.9778650030493736,4527,9271296,5270.955797525938,9271296
2417.319315025,1000.0,2417.319315025,1761,0.13323793,0.5912598,-3.7507362,-0.030976322,335.32343,0.9650874957442284,4528,9273344,5272.1192630039295,9273344
2437.583557975,1000.0,2437.583557975,1777,0.12815052,0.5624512,-3.7754931,-0.02575184,165.7707,0.9872172558680177,4529,9275392,5273.272391811013,9275392
2438.220186625,1000.0,2438.220186625,1754,0.3145646,0.6766602,-3.769474,-0.0019256488,237.8868,0.9670728407800198,4530,9277440,5274.440716878977,9277440
2462.602463675,1000.0,2462.602463675,1740,0.32079202,0.6519531,-3.7583447,-0.014244676,230.30911,0.9737717248499393,4531,9279488,5275.618369299918,9279488
2429.808229825,1000.0,2429.808229825,1751,0.18541262,0.6140137,-3.746838,-0.012163191,260.49188,0.9680956229567528,4532,9281536,5276.788552091923,9281536
2468.6120155500003,1000.0,2468.6120155500003,1738,0.21673635,0.6405762,-3.7156081,-0.01689915,151.74576,0.9882854875177145,4533,9283584,5277.967424155911,9283584
2472.73032265,1000.0,2472.73032265,1720,0.2200723,0.648291,-3.714772,-0.012361554,298.2477,0.969589801505208,4534,9285632,5279.158233527909,9285632
2486.2442626750003,1000.0,2486.2442626750003,1725,0.3695562,0.5969238,-3.7321784,-0.018527653,399.74265,0.9060622602701187,4535,9287680,5280.345668682945,9287680
2471.401431575,1000.0,2471.401431575,1768,0.16911885,0.61806643,-3.7373073,-0.009234272,394.44034,0.9446771182119846,4536,9289728,5281.504295715946,9289728
2502.83519235,1000.0,2502.83519235,1792,0.17129634,0.61269534,-3.7228496,-0.01598664,126.94171,0.9880961049348116,4537,9291776,5282.647859173943,9291776
2560.6328529499997,1000.0,2560.6328529499997,1736,0.14049275,0.5606934,-3.7142513,-0.02079796,239.10059,0.9710684604942799,4538,9293824,5283.827676431974,9293824
2524.958715275,1000.0,2524.958715275,1754,0.2321764,0.6313965,-3.6925225,-0.007397154,332.97864,0.945866521447897,4539,9295872,5284.9956347079715,9295872
2576.6386082500003,1000.0,2576.6386082500003,1779,0.18382072,0.6297852,-3.6737773,-0.0216355,277.7312,0.9756498970091343,4540,9297920,5286.146961794002,9297920
2637.5598027,1000.0,2637.5598027,1745,0.15004106,0.5986816,-3.6657844,-0.020875448,167.80515,0.9890008298680186,4541,9299968,5287.320734630921,9299968
2619.3811599,1000.0,2619.3811599,1756,0.2577791,0.6183594,-3.6521676,-0.012850562,425.0639,0.8315413445234299,4542,9302016,5288.48737286299,9302016
2650.3490600749997,1000.0,2650.3490600749997,1772,0.27362642,0.62753904,-3.6607757,-0.003853804,216.83801,0.9768568929284811,4543,9304064,5289.643246307969,9304064
2627.831355,1000.0,2627.831355,1732,0.13205263,0.56381834,-3.6700814,-0.025380004,355.04547,0.9531490728259087,4544,9306112,5290.826330938959,9306112
2651.0373182999997,1000.0,2651.0373182999997,1721,0.19644314,0.6118652,-3.6850593,-0.0120806135,201.62657,0.9814309757202864,4545,9308160,5292.016984154936,9308160
2666.6033067999997,1000.0,2666.6033067999997,1771,0.07632491,0.5133301,-3.678405,-0.031238908,154.45969,0.9849324785172939,4546,9310208,5293.175523172016,9310208
2615.8861754,1000.0,2615.8861754,1747,0.6603178,0.67573243,-3.6824436,-0.0034682094,371.10596,0.9398695267736912,4547,9312256,5294.348537220969,9312256
2634.39399985,1000.0,2634.39399985,1751,0.08935027,0.4994629,-3.6886535,-0.023918739,288.27734,0.966431301087141,4548,9314304,5295.518249011948,9314304
2599.055060275,1000.0,2599.055060275,1745,0.2597599,0.63725585,-3.6993191,-0.014641948,158.24532,0.9830722473561764,4549,9316352,5296.692059153924,9316352
2609.4291240499997,1000.0,2609.4291240499997,1740,0.9667848,0.720459,-3.6860523,-0.011710694,372.90964,0.9628322087228298,4550,9318400,5297.869556294987,9318400
2607.5186944,1000.0,2607.5186944,1734,0.24537611,0.65957034,-3.6822796,-0.010827391,365.05048,0.9286135733127594,4551,9320448,5299.050970259006,9320448
2616.7725417499996,1000.0,2616.7725417499996,1741,0.15820602,0.6086914,-3.6632392,-0.025515174,241.93147,0.9773192647844553,4552,9322496,5300.227844478912,9322496
2594.6566541,1000.0,2594.6566541,1754,0.18151484,0.6243164,-3.655671,-0.01191802,222.84492,0.9782944936305285,4553,9324544,5301.395767800976,9324544
2570.45924625,1000.0,2570.45924625,1755,0.17038102,0.6081055,-3.6560307,-0.017805405,294.91028,0.9643441066145897,4554,9326592,5302.563136559911,9326592
2649.1160938000003,1000.0,2649.1160938000003,1746,0.13373819,0.5806152,-3.6524582,-0.0375071,168.5095,0.991404221393168,4555,9328640,5303.7365185179515,9328640
2684.4079512750004,1000.0,2684.4079512750004,1747,0.14053562,0.5779297,-3.6554646,-0.01886135,230.8447,0.9653057754039764,4556,9330688,5304.909469770966,9330688
2623.57197325,1000.0,2623.57197325,1725,0.31940478,0.66987306,-3.651945,0.0018037336,260.05972,0.9679011069238186,4557,9332736,5306.097046702984,9332736
