AverageReturn,MeanRew,SimRew-MeanRew,Time-MeanRew,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
1603.522066,1631.054,134.22728,0.0010953248977661134,1000.0,1603.522066,466,0.019602964,0.24453124,4.0777082,-0.016893588,31.833893,0.9218758195638657,280,573440,2985.7364072699565,573440
1604.959180375,1608.627,135.86345,0.001228394365310669,1000.0,1604.959180375,497,0.02051652,0.26298827,4.073566,-0.02032746,12.167552,0.9801835604012012,290,593920,3096.513592143776,593920
1639.746005375,1692.1627,135.0707,0.0011268984317779542,1000.0,1639.746005375,492,0.045014307,0.41181642,3.9654822,-0.02231025,15.276715,0.983196321874857,300,614400,3208.240012295777,614400
1656.2577789249997,1677.2122,138.84598,0.0010712933540344238,1000.0,1656.2577789249997,466,0.022048,0.27304688,3.8684554,-0.01920397,13.164965,0.9846000764518976,310,634880,3319.7510725569446,634880
1660.626873725,1694.1687,139.70518,0.0011132632732391357,1000.0,1660.626873725,503,0.03277192,0.3421875,3.7251503,-0.024562858,14.30084,0.9855113597586751,320,655360,3430.311942439992,655360
1699.55122265,1721.8008,142.29187,0.0011009946823120117,1000.0,1699.55122265,497,0.0411454,0.3097168,3.5408897,-0.023648646,28.717215,0.9573284313082695,330,675840,3540.3440856379457,675840
1703.6449321,1713.8785,145.76926,0.0011403666973114014,1000.0,1703.6449321,528,0.025664577,0.29375,3.4640975,-0.019177957,15.264018,0.9767152760177851,340,696320,3649.2672430989332,696320
1701.2735282999997,1659.2695,150.41975,0.0011001296520233154,1000.0,1701.2735282999997,555,0.038000382,0.3885254,3.4173515,-0.0237046,10.107936,0.9715718850493431,350,716800,3757.9096035398543,716800
1725.512268175,1659.3259,152.5908,0.0010366626739501954,1000.0,1725.512268175,589,0.018954132,0.2541992,3.2348263,-0.023169547,9.711265,0.9894330473616719,360,737280,3864.770485378802,737280
1726.874339825,1739.6902,150.66672,0.0011713140487670899,1000.0,1726.874339825,456,0.028569778,0.32641602,3.1765788,-0.026080618,11.404823,0.9757565408945084,370,757760,3974.8467353829183,757760
1724.3340768499997,1746.8826,153.04088,0.001245021343231201,1000.0,1724.3340768499997,457,0.031472612,0.28637695,2.972195,-0.022494325,37.97051,0.9328930750489235,380,778240,4088.8415224768687,778240
1733.45790955,1742.7375,154.75847,0.0011753168106079103,1000.0,1733.45790955,514,0.051533245,0.4416504,2.9188235,-0.021166382,71.67843,0.7045543789863586,390,798720,4203.513775683008,798720
1766.8251190249998,1804.3088,153.88593,0.0011116174697875976,1000.0,1766.8251190249998,483,0.022594674,0.2821289,2.7508688,-0.018397115,10.359216,0.9836045932024717,400,819200,4316.13264028891,819200
1789.5943017999998,1815.1139,156.61964,0.001126089334487915,1000.0,1789.5943017999998,522,0.02482127,0.29672852,2.6527848,-0.017378645,13.998405,0.9778257291764021,410,839680,4424.017338601872,839680
1801.550965125,1843.5459,157.1398,0.001015010404586792,1000.0,1801.550965125,492,0.025192004,0.30307618,2.5302577,-0.020183064,8.624082,0.9856556672602892,420,860160,4536.086646524956,860160
1823.242109475,1819.1438,161.81587,0.001109233570098877,1000.0,1823.242109475,504,0.040546298,0.3847168,2.4034355,-0.01563758,6.6731997,0.9913373654708266,430,880640,4646.247785128886,880640
1837.5392470250001,1856.3269,161.88521,0.0011799519062042237,1000.0,1837.5392470250001,463,0.031936962,0.33466798,2.2427874,-0.015839688,15.297748,0.9838784281164408,440,901120,4757.420126640936,901120
1849.0611503,1884.3269,162.11955,0.0012714194774627685,1000.0,1849.0611503,463,0.031960763,0.3413574,2.1423085,-0.013715094,12.35452,0.9855478443205357,450,921600,4870.427924719872,921600
1874.2889055750002,1887.4866,165.27611,0.0009669316291809082,1000.0,1874.2889055750002,459,0.030305108,0.34018555,1.9557301,-0.015605137,7.925898,0.9903199076652527,460,942080,4980.981105471961,942080
1883.1042809750002,1857.7266,169.4087,0.0012845498085021973,1000.0,1883.1042809750002,441,0.2111479,0.34399414,1.8163048,-0.010796347,16.196907,0.9771691430360079,470,962560,5091.208976623835,962560
1880.827363275,1832.5219,173.22127,0.0011389871120452881,1000.0,1880.827363275,465,0.04928253,0.42924803,1.6923405,-0.010844564,11.897053,0.984268194064498,480,983040,5204.918393064989,983040
